id,word_freq,match,average_length,cluster_name
1306,"[('mechereny', 1)]",['mechereny'],1.0,mechereny
1307,"[('vet', 4), ('world', 4), ('co.', 2), ('ltd', 2), ('co', 1), ('vetword', 1), ('veteworld', 1)]","['vet world', 'vetworld', 'veteworld', 'vetword']",2.0,vet world
1308,"[('milk', 4), ('mik', 1), ('booster', 1), ('lane', 1), ('powr', 1), ('mink', 1)]","['mik', 'mink', 'milk', 'mika']",2.0,milk mik
1309,"[('donny', 3), ('feed', 1), ('feeds', 1)]","['donny', 'dony']",2.0,donny feed
1310,"[('unifert', 6), ('ltd', 1), ('n', 1), ('uniffert', 1), ('univert', 1), ('unifett', 1), ('internatiinal', 1), ('lnternational', 1), ('limited', 1)]","['unifert', 'uniffert', 'univert', 'unifett']",2.0,unifert ltd
1311,"[('voisthled', 1)]",['voisthled'],1.0,voisthled
1312,"[('hylick', 1), ('hyllick', 1), ('maziwa', 1)]","['hylick', 'hyllick']",2.0,hylick hyllick
1313,"[('ungafeeds', 1), ('unga', 1), ('feeds', 1), ('ltd.', 1)]","['ungafeeds', 'unga feeds']",2.0,ungafeeds unga
1314,"[('easylix', 1)]",['easylix'],1.0,easylix
1315,"[('farmer', 3), ('farer', 1), ('access', 1), ('centre', 1)]","['farer', 'farmer']",2.0,farmer farer
1316,"[('black', 10), ('back', 3), ('seeds', 2), ('site', 1), ('brack', 1), ('seed', 1), ('tape', 1), ('berret', 1), ('pack', 1), ('essential', 1), ('opal', 1), ('subaru', 1), ('spots', 1), ('polythene', 1), ('m', 1)]","['back', 'brack', 'black']",2.0,black back
1317,"[('mama', 4), ('feeds', 1), ('millers', 1), ('nyambura', 1), ('mtama', 1)]","['mama', 'mtama', 'mamba']",2.0,mama feeds
1318,"[('zuri', 1), ('mzuri', 1), ('ltd', 1)]","['zuri', 'mzuri']",2.0,zuri mzuri
1319,"[('janeso', 1)]",['janeso'],1.0,janeso
1320,"[('dogmeal', 1)]",['dogmeal'],1.0,dogmeal
1321,"[('yellow', 3), ('yello', 1), ('gold', 1), ('flowers', 1), ('bean', 1)]","['yellow', 'yello']",2.0,yellow yello
1322,"[('jiangyin', 3), ('ltd', 1), ('nanquan', 1)]",['jiangyin'],2.0,jiangyin ltd
1323,"[('jolly', 2), ('rice', 1), ('feeds', 1)]",['jolly'],2.0,jolly rice
1324,"[('fameilai', 2), ('fameili', 1), ('famecilia', 1), ('co.ltd', 1)]","['fameili', 'fameilai', 'famecilia']",1.0,fameilai
1325,"[('superior', 3), ('technology', 1), ('ltd', 1)]",['superior'],2.0,superior technology
1326,"[('east', 11), ('', 9), ('west', 5), ('tanzania', 1), ('ltd', 1), ('care', 1), ('africa', 1), ('afr', 1), ('african', 1), ('end', 1), ('seeds', 1), ('seed', 1)]","['east-', 'east -', 'east']",3.0,east  west
1327,"[('haki', 1), ('khaki', 1)]","['haki', 'khaki', 'hai']",1.0,haki
1328,"[('bamako', 1)]",['bamako'],1.0,bamako
1329,"[('commercial', 2), ('builders', 1)]",['commercial'],2.0,commercial builders
1330,"[('salt', 2), ('salit', 1), ('lick', 1)]","['salit', 'salt']",1.0,salt
1331,"[('blueagri', 1)]",['blueagri'],1.0,blueagri
1332,"[('agrilords', 3), ('agrilord', 1), ('ltd', 1), ('limited', 1)]","['agrilord', 'agrilords']",2.0,agrilords agrilord
1333,"[('bidco', 6), ('bidico', 1), ('afica', 1), ('feeds', 1), ('industries', 1), ('africa', 1), ('ltd', 1)]","['bidico', 'bidco']",2.0,bidco bidico
1334,"[('oka', 2), ('medica', 1)]",['oka'],2.0,oka medica
1335,"[('shaanxi', 2), ('sunger', 2), ('rd', 2), ('bioscience', 2), ('co.', 1), ('ltd', 1)]","['shaanxi sunger', 'shaanxi sunger rd']",5.0,shaanxi sunger rd bioscience co.
1336,"[('chali', 2), ('dudu', 2), ('dust', 1), ('chem', 1)]",['chali dudu'],3.0,chali dudu dust
1337,"[('rat', 1), ('poison', 1)]",['rat'],2.0,rat poison
1338,"[('avastatin', 1)]",['avastatin'],1.0,avastatin
1339,"[('menarini', 1)]",['menarini'],1.0,menarini
1340,"[('scent', 2), ('premix', 1)]",['scent'],2.0,scent premix
1341,"[('astel', 1)]",['astel'],1.0,astel
1342,"[('hy', 2), ('gene', 2), ('hygene', 1), ('limited', 1)]","['hy-gene', 'hygene']",1.0,hy
1343,"[('special', 2), ('specialty', 1), ('agri', 1), ('nutrition', 1), ('feeds', 1)]","['special', 'specialty']",2.0,special specialty
1344,"[('hasbah', 1)]",['hasbah'],1.0,hasbah
1345,"[('beckon', 1)]",['beckon'],1.0,beckon
1346,"[('nakuru', 8), ('vet', 1), ('kenya', 1), ('feeds', 1), ('premier', 1), ('mellinium', 1), ('manufactures', 1), ('industries', 1)]",['nakuru'],2.0,nakuru vet
1347,"[('systochem', 1)]",['systochem'],1.0,systochem
1348,"[('mentholatum', 3), ('mentolatum', 1), ('ltd', 1), ('mentholatom', 1), ('company', 1), ('co.ltd', 1), ('metholatum', 1)]","['mentolatum', 'mentholatum', 'metholatum', 'mentholatom']",2.0,mentholatum mentolatum
1349,"[('riomax', 1)]",['riomax'],1.0,riomax
1350,"[('pew', 1)]",['pew'],1.0,pew
1351,"[('value', 2), ('farm', 1), ('farms', 1)]",['value'],2.0,value farm
